Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon Route 53,0,4.5,54.00,USD,Hosted Zones (1)
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,1,12.00,USD,Number of requests (HTTPS) (1000000 per month)
My Estimate,US East (N. Virginia),,Application Load Balancer,0,79.57,954.84,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,33.3,399.60,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,S3 Standard,0,23.55,282.60,USD,S3 Standard storage (1 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,
My Estimate,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,364.2,4370.40,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (30 GB per month), Nodes (2), Instance Type (db.m1.medium), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,269.86,3238.32,USD,"Operating system (Linux), Quantity (8), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (t4g.large)"
My Estimate,US East (N. Virginia),,AWS Data Transfer,0,0,0.00,USD,"DT Inbound: Internet (5 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Data transfer cost (0)"
My Estimate,EU (Ireland),,Amazon Virtual Private Cloud (VPC),0,35.52,426.24,USD,Number of NAT Gateways (1)
My Estimate,EU (Ireland),,Amazon EC2,0,242.82999999999998,2913.96,USD,"Operating system (Linux), Quantity (12), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (t4g.medium)"
My Estimate,EU (Ireland),,Application Load Balancer,0,83.50999999999999,1002.12,USD,Number of Application Load Balancers (2)
My Estimate,EU (Ireland),,Amazon RDS for PostgreSQL,0,197.39000000000001,2368.68,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (30 GB per month), Nodes (1), Instance Type (db.m1.medium), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand)"
My Estimate,EU (Ireland),,Amazon Virtual Private Cloud (VPC),0,92.16,1105.92,USD,"Working days per month (22), DT Inbound: Internet (1 TB per month), DT Outbound: Internet (1 TB per month), DT Intra-Region: (0 TB per month), Data transfer cost (92.16)"
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,92.16,1105.92,USD,"Working days per month (22), DT Inbound: Internet (1 TB per month), DT Outbound: Internet (1 TB per month), DT Intra-Region: (0 TB per month), Data transfer cost (92.16)"

Back to initial setup + more EC2 on initial region, addition of a region for redundancy (vpc/ec2/rds/alb)

Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
